time,volumn
2018/2/16 1:00,1345
2018/2/16 1:05,1280
2018/2/16 1:10,1397
2018/2/16 1:15,1286
2018/2/16 1:20,1355
2018/2/16 1:25,1312
2018/2/16 1:30,1350
2018/2/16 1:35,1310
2018/2/16 1:40,1321
2018/2/16 1:45,1254
2018/2/16 1:50,1375
2018/2/16 1:55,1237
2018/2/16 2:00,1365
2018/2/16 2:05,1265
2018/2/16 2:10,1285
2018/2/16 2:15,1239
2018/2/16 2:20,1249
2018/2/16 2:25,1237
2018/2/16 2:30,1210
2018/2/16 2:35,1242
2018/2/16 2:40,1283
2018/2/16 2:45,1251
2018/2/16 2:50,1272
2018/2/16 2:55,1303
2018/2/16 3:00,1230
2018/2/16 3:05,1217
2018/2/16 3:10,1273
2018/2/16 3:15,1280
2018/2/16 3:20,1257
2018/2/16 3:25,1241
2018/2/16 3:30,1307
2018/2/16 3:35,1229
2018/2/16 3:40,1255
2018/2/16 3:45,1220
2018/2/16 3:50,1380
2018/2/16 3:55,1269
2018/2/16 4:00,1227
2018/2/16 4:05,1248
2018/2/16 4:10,1239
2018/2/16 4:15,1233
2018/2/16 4:20,1217
2018/2/16 4:25,1262
2018/2/16 4:30,1270
2018/2/16 4:35,1232
2018/2/16 4:40,1233
2018/2/16 4:45,1234
2018/2/16 4:50,1261
2018/2/16 4:55,1232
2018/2/16 5:00,1289
2018/2/16 5:05,1323
2018/2/16 5:10,1265
2018/2/16 5:15,1327
2018/2/16 5:20,1254
2018/2/16 5:25,1258
2018/2/16 5:30,1272
2018/2/16 5:35,1248
2018/2/16 5:40,1279
2018/2/16 5:45,1296
2018/2/16 5:50,1240
2018/2/16 5:55,1240
2018/2/16 6:00,1374
2018/2/16 6:05,1333
2018/2/16 6:10,1366
2018/2/16 6:15,1341
2018/2/16 6:20,1357
2018/2/16 6:25,1338
2018/2/16 6:30,1382
2018/2/16 6:35,1446
2018/2/16 6:40,1342
2018/2/16 6:45,1585
2018/2/16 6:50,1383
2018/2/16 6:55,1376
2018/2/16 7:00,1453
2018/2/16 7:05,1234
2018/2/16 7:10,1085
2018/2/16 7:15,1075
2018/2/16 7:20,1154
2018/2/16 7:25,1221
2018/2/16 7:30,1236
2018/2/16 7:35,1170
2018/2/16 7:40,1211
2018/2/16 7:45,1158
2018/2/16 7:50,1292
2018/2/16 7:55,1312
2018/2/16 8:00,1295
2018/2/16 8:05,1343
2018/2/16 8:10,1288
2018/2/16 8:15,1266
2018/2/16 8:20,1310
2018/2/16 8:25,1333
2018/2/16 8:30,1324
2018/2/16 8:35,1420
2018/2/16 8:40,1428
2018/2/16 8:45,1365
2018/2/16 8:50,1325
2018/2/16 8:55,1328
